index,Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
41,Alexion Agrees to Work With Hedge Fund Elliott on Filling Board Seat,The Wall Street Journal,2018,1,2,0,0,1,1,1
42,Gold Continues Rally as Dollar Falls,The Wall Street Journal,2018,1,2,0,0,1,1,-1
43,Kim Jong Un Says He Has a Nuclear Launch Button on His Office Desk,The Wall Street Journal,2018,1,2,0,0,1,1,-1
44,Democrat Taps Disgruntled Liberals to Challenge Andrew Cuomo in 2018,The Wall Street Journal,2018,1,2,0,0,1,1,-1
45,Haley Calls on U.N. to Support Demonstrators in Iran,The Wall Street Journal,2018,1,2,0,0,1,1,0
46,Rubio’s Tax Lament,The Wall Street Journal,2018,1,2,0,0,1,1,-1
47,Centrist Democrats Get a Boost as Doug Jones Joins the Senate,The Wall Street Journal,2018,1,2,0,0,1,1,1
48,"Let’s Keep the Gains Made, Nafta Isn’t the Boogeyman",The Wall Street Journal,2018,1,2,0,0,1,1,0
49,U.S. Should Consider Europe’s New Capital Market Rules,The Wall Street Journal,2018,1,2,0,0,1,1,-1
50,Firm Retention Summary: Woodbridge Group of Companies LLC,The Wall Street Journal,2018,1,9,1,0,1,1,1
51,Trump Administration Says Drilling Won’t Be Allowed Off Florida Coast,The Wall Street Journal,2018,1,9,1,0,1,1,-1
52,"Toyota, Mazda Choose Alabama for $1.6 Billion Plant",The Wall Street Journal,2018,1,9,1,0,1,1,1
53,Federal Judges Invalidate North Carolina Congressional Districts,The Wall Street Journal,2018,1,9,1,0,1,1,-1
54,Jump in HIV Cases Among Drug Users Seen in Northern Kentucky,The Wall Street Journal,2018,1,9,1,0,1,1,0
55,Renault-Nissan Starts Up $1 Billion Venture Fund for Car Technology,The Wall Street Journal,2018,1,9,1,0,1,1,1
56,Westinghouse Accuses Investors of Trying to Drive Up Claim Value,The Wall Street Journal,2018,1,9,1,0,1,1,-1
57,The IRS Evades Accountability—and Its Excuse Is Ridiculous,The Wall Street Journal,2018,1,9,1,0,1,1,-1
58,The House Chairmen’s Plan for Immigration Reform,The Wall Street Journal,2018,1,9,1,0,1,1,1
59,Progress on Immigration,The Wall Street Journal,2018,1,9,1,0,1,1,1
60,Tillerson Orders Review of U.S. Response to Mysterious Illnesses in Cuba,The Wall Street Journal,2018,1,9,1,0,1,1,1
61,"Don’t End the Iran Deal, Fix It",The Wall Street Journal,2018,1,9,1,0,1,1,-1
62,"Davos In, Bannon Out",The Wall Street Journal,2018,1,9,1,0,1,1,1
63,A Fresh Approach to North Korea,The Wall Street Journal,2018,1,9,1,0,1,1,1
64,"New York City Plans New, $400 Million Public-Health Lab",The Wall Street Journal,2018,1,9,1,0,1,1,1
65,Tales From the Cryptocurrency,The Wall Street Journal,2018,1,9,1,0,1,1,-1
66,North Korea’s Peace Games,The Wall Street Journal,2018,1,9,1,0,1,1,1
67,Funding Snapshot: StackShare Raises $5.2 Million Series A to Help Developers Stay Up-to-Date,The Wall Street Journal,2018,1,9,1,0,1,1,1
68,New Jersey Gov. Christie Defends Tenure in Final Speech,The Wall Street Journal,2018,1,9,1,0,1,1,1
69,Mega Chip Deal Alarms Some Chinese Smartphone Makers,The Wall Street Journal,2018,1,9,1,0,1,1,-1
70,Firm Retention Summary: Real Industry Inc.,The Wall Street Journal,2018,1,9,1,0,1,1,1
71,Raising Good Men in Our Enlightened Age,The Wall Street Journal,2018,1,9,1,0,1,1,1
72,Rubenstein Partners Bets on Indiana,The Wall Street Journal,2018,1,9,1,0,1,1,0
73,Supreme Court Questions Breadth of Police Car-Search Rights,The Wall Street Journal,2018,1,9,1,0,1,1,0
74,Review: Hacking the Clock,The Wall Street Journal,2018,1,9,1,0,1,1,-1
75,Ira Rennert Blames Law Firm for $214 Million MagCorp Verdict,The Wall Street Journal,2018,1,9,1,0,1,1,-1
76,California’s Affirmative Action for ‘Marijuana Entrepreneurs’,The Wall Street Journal,2018,1,9,1,0,1,1,-1
77,Bannon to Leave Breitbart Post After Rift With Trump,The Wall Street Journal,2018,1,9,1,0,1,1,-1
78,Firm Retention Summary: Shiekh Shoes LLC,The Wall Street Journal,2018,1,9,1,0,1,1,1
79,Asia Markets Lower; Australia Sees Modest Gains,The Wall Street Journal,2018,1,9,1,0,1,1,-1
80,Coreligionists in Kleptocracy,The Wall Street Journal,2018,1,9,1,0,1,1,1
81,Details on the Making of Trump Dossier Are Disclosed,The Wall Street Journal,2018,1,9,1,0,1,1,1
82,Domino’s CEO J. Patrick Doyle to Step Down in June,The Wall Street Journal,2018,1,9,1,0,1,1,-1
83,KKR Launches Aggressive New Real-Estate Fund,The Wall Street Journal,2018,1,9,1,0,1,1,1
84,Oil Continues to Rally as Data Remain Bullish,The Wall Street Journal,2018,1,9,1,0,1,1,-1
85,Ecuador Seeks Arrangement for Assange to Leave Embassy,The Wall Street Journal,2018,1,9,1,0,1,1,-1
86,Trump Signs Order Expanding Mental-Health Help for New Veterans,The Wall Street Journal,2018,1,9,1,0,1,1,-1
87,AmTrust Financial Founding Family Proposes Taking Insurer Private,The Wall Street Journal,2018,1,9,1,0,1,1,-1
88,"Canada Outlook Shifts, as Currency and Bond Yields Jump",The Wall Street Journal,2018,1,9,1,0,1,1,-1
89,Photos of the Day: Jan. 9,The Wall Street Journal,2018,1,9,1,0,1,1,1
90,Photos: Procession of the Black Nazarene in Manila,The Wall Street Journal,2018,1,9,1,0,1,1,1
91,China Consumer Inflation Up Slightly in December,The Wall Street Journal,2018,1,9,1,0,1,1,-1
92,Investors Prepare for Inflation,The Wall Street Journal,2018,1,9,1,0,1,1,-1
93,Realtors Get Ready for Their Next Battle,The Wall Street Journal,2018,1,9,1,0,1,1,0
94,NGP Backs Pipeline Company Trilogy Midstream,The Wall Street Journal,2018,1,9,1,0,1,1,-1
95,Republicans Want Bigger Increase for Military Spending in Budget Talks,The Wall Street Journal,2018,1,9,1,0,1,1,-1
96,"U.S., French Officials Question Apple Over iPhone Battery Slowdowns",The Wall Street Journal,2018,1,9,1,0,1,1,-1
97,CBRE to Offer App for Office Design and Amenities,The Wall Street Journal,2018,1,9,1,0,1,1,1
98,Transom Capital Raises Quick $300 Million for Fund III,The Wall Street Journal,2018,1,9,1,0,1,1,1
99,Mike Pence to Lead U.S. Delegation to Olympics in South Korea,The Wall Street Journal,2018,1,9,1,0,1,1,1
100,Photos of the Day: Feb. 8,The Wall Street Journal,2018,2,8,2,0,1,1,1
101,A Historical Tie Breaks but Trouble Still Lurks,The Wall Street Journal,2018,2,8,2,0,1,1,-1
102,Funding Snapshot: Honest Buildings Adds $8 Million to Series B,The Wall Street Journal,2018,2,8,2,0,1,1,1
103,North Korean Orchestra Tunes In to Southern Nostalgia,The Wall Street Journal,2018,2,8,2,0,1,1,1
104,Review: Cleaning Out the Competition,The Wall Street Journal,2018,2,8,2,0,1,1,-1
105,"Keith Ellison, Louis Farrakhan and Iran",The Wall Street Journal,2018,2,8,2,0,1,1,1
106,"GOAT and Flight Club Merge, Raise $60 Million",The Wall Street Journal,2018,2,8,2,0,1,1,0
107,Distorted Campus Assault Math,The Wall Street Journal,2018,2,8,2,0,1,1,-1
108,Satellite Operators Pitch Plan to Share Airwaves,The Wall Street Journal,2018,2,8,2,0,1,1,1
109,"I Love a Parade, but Not This One",The Wall Street Journal,2018,2,8,2,0,1,1,-1
110,SeaFort Capital Invests in Mecfor,The Wall Street Journal,2018,2,8,2,0,1,1,1
111,China Inflation Moderates in January,The Wall Street Journal,2018,2,8,2,0,1,1,-1
112,Notable & Quotable: Gigs and the Pay Gap,The Wall Street Journal,2018,2,8,2,0,1,1,1
113,"Tax Changes, Wildfires Push AIG to $6.7 Billion Loss",The Wall Street Journal,2018,2,8,2,0,1,1,-1
114,Credit-Report Errors Top Complaints to CFPB,The Wall Street Journal,2018,2,8,2,0,1,1,-1
115,Invest-Tech Startup Artivest Merges With Altegris,The Wall Street Journal,2018,2,8,2,0,1,1,1
116,"Blades, Pot and Opiates: What a New York Undercover Agent Smuggled Into Jails",The Wall Street Journal,2018,2,8,2,0,1,1,0
117,Oil Down Another 1% in Asia as Iran Looks to Pump,The Wall Street Journal,2018,2,8,2,0,1,1,-1
118,"Kim Jong Un’s Sister, South Korea’s President to Do Lunch",The Wall Street Journal,2018,2,8,2,0,1,1,1
119,Duration Risk Pushes Investors to Shorter Bonds,The Wall Street Journal,2018,2,8,2,0,1,1,-1
120,RBA Warns Full Employment Still Some Way Off,The Wall Street Journal,2018,2,8,2,0,1,1,-1
121,A War on the Rich Won’t Help the Poor,The Wall Street Journal,2018,2,8,2,0,1,1,-1
122,SandRidge Energy Shakes Up Leadership Amid Investor Pressure,The Wall Street Journal,2018,2,8,2,0,1,1,-1
123,Scott Walker’s Subsidy Blowback,The Wall Street Journal,2018,2,8,2,0,1,1,0
124,Expedia Shares Slide as Costs Weigh on Bottom Line,The Wall Street Journal,2018,2,8,2,0,1,1,-1
125,Ascent Resources Marcellus Makes Bankruptcy Court Debut,The Wall Street Journal,2018,2,8,2,0,1,1,1
126,"FDNY Aims to Boost Women, Minorities in Its Ranks",The Wall Street Journal,2018,2,8,2,0,1,1,0
127,Who Made Xi Jinping Pope?,The Wall Street Journal,2018,2,8,2,0,1,1,-1
128,News Corp Revenue Boosted by Digital Real Estate Unit,The Wall Street Journal,2018,2,8,2,0,1,1,1
129,The Cavs Go Crazy at the NBA’s Trade Deadline,The Wall Street Journal,2018,2,8,2,0,1,1,-1
130,Testing Trump’s Chemical Red Line,The Wall Street Journal,2018,2,8,2,0,1,1,-1
131,Emerging Markets Hang Tough During Global Selloff,The Wall Street Journal,2018,2,8,2,0,1,1,-1
132,The Speech,The Wall Street Journal,2018,2,8,2,0,1,1,1
133,"Twitter Notches First Profit, and Shares Leap",The Wall Street Journal,2018,2,8,2,0,1,1,1
134,Star Witness in Bribery Trial May Have Violated Plea Deal,The Wall Street Journal,2018,2,8,2,0,1,1,-1
135,Funding Snapshot: Everipedia Receives $30 Million for Blockchain Encyclopedia Project,The Wall Street Journal,2018,2,8,2,0,1,1,0
136,Shares of Victory Capital Down in IPO,The Wall Street Journal,2018,2,8,2,0,1,1,-1
137,Canada Rolls Out Tougher Oversight of Energy Projects,The Wall Street Journal,2018,2,8,2,0,1,1,-1
138,Fed’s George Says It’s Important to Press Forward With Rate Increases,The Wall Street Journal,2018,2,8,2,0,1,1,1
139,Who Is Christopher Steele?,The Wall Street Journal,2018,2,8,2,0,1,1,0
140,Muddy Waters Is Mystery Author of Report Exposing Chinese Billionaire’s Ties to Aluminum Stockpiles,The Wall Street Journal,2018,2,8,2,0,1,1,0
141,Stock Slides Likely Making Bank of Japan More Cautious About Rates,The Wall Street Journal,2018,2,8,2,0,1,1,-1
142,Payment Systems Favor Richer Consumers,The Wall Street Journal,2018,2,8,2,0,1,1,0
143,Trump Is Urged to Preserve International Entrepreneur Rule,The Wall Street Journal,2018,2,8,2,0,1,1,0
144,White House Offers Regrets About Handling of Rob Porter Allegations,The Wall Street Journal,2018,2,8,2,0,1,1,-1
145,A Country Doctor Can’t Forget His 40 Years of House Calls,The Wall Street Journal,2018,2,8,2,0,1,1,1
146,Will the Real Narendra Modi Please Stand Up?,The Wall Street Journal,2018,2,8,2,0,1,1,0
147,Boeing in Talks to Buy Aerospace-Parts Maker Woodward,The Wall Street Journal,2018,2,8,2,0,1,1,-1
148,Transcript: Bloomberg TV Interview With New York Fed’s William Dudley,The Wall Street Journal,2018,2,8,2,0,1,1,-1
149,GOP Latches Onto Corruption Trial to Take Aim at Cuomo in Election Year,The Wall Street Journal,2018,2,8,2,0,1,1,1
150,"Navy Jet Crashes Off Key West, Two Crew Members Killed",The Wall Street Journal,2018,3,14,3,0,1,1,-1
151,"Another Republican Challenges New York Governor, Citing Aide’s Conviction",The Wall Street Journal,2018,3,14,3,0,1,1,0
152,Unilever Board Decides to Locate Headquarters in Rotterdam,The Wall Street Journal,2018,3,14,3,0,1,1,-1
153,Use Blockchain to Hold Assad Accountable,The Wall Street Journal,2018,3,14,3,0,1,1,1
154,Sen. Rand Paul to Oppose Trump’s Nominations for State and CIA,The Wall Street Journal,2018,3,14,3,0,1,1,-1
155,U.S. Dollar Edges Lower,The Wall Street Journal,2018,3,14,3,0,1,1,-1
156,"Lyft, Magna in Deal to Develop Hardware, Software for Self-Driving Cars",The Wall Street Journal,2018,3,14,3,0,1,1,1
157,Parties Seek Lessons in Pennsylvania as Democrat Declares Victory,The Wall Street Journal,2018,3,14,3,0,1,1,-1
158,Sears’s Sales Tumble as Financial Pressure Mounts,The Wall Street Journal,2018,3,14,3,0,1,1,-1
159,"Dropbox Pitches Investors on Scale, Growth and Collaboration",The Wall Street Journal,2018,3,14,3,0,1,1,1
160,Kudlow Into the Breach,The Wall Street Journal,2018,3,14,3,0,1,1,-1
161,Judge Ousts CEO of Bankrupt Legal Plan Provider,The Wall Street Journal,2018,3,14,3,0,1,1,-1
162,What the GOP Can Learn From Losing,The Wall Street Journal,2018,3,14,3,0,1,1,1
163,Oil Futures Maintain Modest Overnight Gains,The Wall Street Journal,2018,3,14,3,0,1,1,1
164,"New York-Area Students Protest Gun Violence, Some Risking Punishment",The Wall Street Journal,2018,3,14,3,0,1,1,-1
165,MoMA’s Human Focus,The Wall Street Journal,2018,3,14,3,0,1,1,1
166,Former Equifax Executive Charged With Insider Trading,The Wall Street Journal,2018,3,14,3,0,1,1,1
167,United Plans New Animal Tags After Dog Death,The Wall Street Journal,2018,3,14,3,0,1,1,1
168,Prosecutors Say Corruption Case Started With $3000 Chair,The Wall Street Journal,2018,3,14,3,0,1,1,-1
169,Disney Sets Stage for Succession Race With Operational Overhaul,The Wall Street Journal,2018,3,14,3,0,1,1,1
170,Luminate Invests in Enterprise-Software Company,The Wall Street Journal,2018,3,14,3,0,1,1,0
171,"Tariff Exemptions? Not So Fast, Commerce Department Signals",The Wall Street Journal,2018,3,14,3,0,1,1,-1
172,U.S. Stocks Fall on Renewed Trade Worries,The Wall Street Journal,2018,3,14,3,0,1,1,-1
173,Tempers Flare in U.S.-EU Spat Over Clearinghouse Supervision,The Wall Street Journal,2018,3,14,3,0,1,1,-1
174,Sessions Weighs Firing of Andrew McCabe,The Wall Street Journal,2018,3,14,3,0,1,1,-1
175,This Is Exactly How Trade Wars Begin,The Wall Street Journal,2018,3,14,3,0,1,1,-1
176,‘The Gender Gage Rap Is Real!’,The Wall Street Journal,2018,3,14,3,0,1,1,1
177,The Dark Underbelly of Europe’s Financial System,The Wall Street Journal,2018,3,14,3,0,1,1,-1
178,Weak Consumer Spending Presents a Puzzle,The Wall Street Journal,2018,3,14,3,0,1,1,-1
179,Theranos Founder Elizabeth Holmes Charged With Fraud,The Wall Street Journal,2018,3,14,3,0,1,1,-1
180,A Cancer Scare Defeat in California,The Wall Street Journal,2018,3,14,3,0,1,1,-1
181,"Guitar Center’s Proposed Debt Exchange Would Constitute a Default, Says Moody’s",The Wall Street Journal,2018,3,14,3,0,1,1,-1
182,The Pyongyang-Tehran Axis,The Wall Street Journal,2018,3,14,3,0,1,1,1
183,Ex-Mexican Prosecutor Says He Was Fired to Stymie Corruption Probe,The Wall Street Journal,2018,3,14,3,0,1,1,-1
184,"Since Parkland’s #NeverAgain, School Shootings Have Happened Again",The Wall Street Journal,2018,3,14,3,0,1,1,-1
185,Senate Passes Bill Easing Banking Rules,The Wall Street Journal,2018,3,14,3,0,1,1,1
186,Palo Alto Networks to Buy Evident.io for $300 Million Cash,The Wall Street Journal,2018,3,14,3,0,1,1,-1
187,Photos of the Day: March 14,The Wall Street Journal,2018,3,14,3,0,1,1,1
188,Mississippi Lawmaker Ends Bid for One Senate Seat to Run for Another,The Wall Street Journal,2018,3,14,3,0,1,1,-1
189,Wells Fargo Paid CEO Timothy Sloan $17.4 Million Last Year,The Wall Street Journal,2018,3,14,3,0,1,1,-1
190,Exchanges’ Fees and Rebates Could Get a Cut,The Wall Street Journal,2018,3,14,3,0,1,1,-1
191,Trump Organization Tied to Deal to Keep Stormy Daniels Quiet,The Wall Street Journal,2018,3,14,3,0,1,1,0
192,Proposal Would Loosen Grip of FICO Score for Mortgages,The Wall Street Journal,2018,3,14,3,0,1,1,-1
193,Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,The Wall Street Journal,2018,3,14,3,0,1,1,-1
194,‘Twentytwo in Blue’ Review: Sunflower Bean Still Blossoms,The Wall Street Journal,2018,3,14,3,0,1,1,1
195,U.K. Expels 23 Russian Diplomats Over Spy Poisoning,The Wall Street Journal,2018,3,14,3,0,1,1,-1
196,Slovakian Prime Minister Offers to Resign,The Wall Street Journal,2018,3,14,3,0,1,1,-1
197,How China Pushes the Limits on Military Technology Transfer,The Wall Street Journal,2018,3,14,3,0,1,1,-1
198,‘A Foreign Policy for the Left’ Review: Can There Be a ‘Decent’ Left?,The Wall Street Journal,2018,3,14,3,0,1,1,-1
199,March Madness in PA-18,The Wall Street Journal,2018,3,14,3,0,1,1,-1
200,Saudi Crown Prince Makes Deals in France,The Wall Street Journal,2018,4,10,4,0,1,1,0
201,U.S. Dollar Edges Lower,The Wall Street Journal,2018,4,10,4,0,1,1,-1
202,Container Security Firm StackRox Gets $25 Million,The Wall Street Journal,2018,4,10,4,0,1,1,1
203,The Michael Cohen Raid,The Wall Street Journal,2018,4,10,4,0,1,1,-1
204,The Zuckerberg Effigy,The Wall Street Journal,2018,4,10,4,0,1,1,0
205,"America’s Parties, Divided Every Which Way",The Wall Street Journal,2018,4,10,4,0,1,1,-1
206,Nutrition Data Startup Nutrino Gobbles Up $8 Million in Funding,The Wall Street Journal,2018,4,10,4,0,1,1,1
207,‘Who We Are and How We Got Here’ Review: Ghosts in the Genome,The Wall Street Journal,2018,4,10,4,0,1,1,1
208,Big Banks Find a Back Door to Finance Subprime Loans,The Wall Street Journal,2018,4,10,4,0,1,1,-1
209,Math Scores Drop for New York City Fourth-Graders,The Wall Street Journal,2018,4,10,4,0,1,1,-1
210,Health Agency Official Placed on Leave After ‘#PizzaGate’ Tweet,The Wall Street Journal,2018,4,10,4,0,1,1,-1
211,Fleetsmith Scores Series A for Management of Apple Devices,The Wall Street Journal,2018,4,10,4,0,1,1,1
212,Private Equity-Backed Community Bank Origin Bancorp Files for IPO,The Wall Street Journal,2018,4,10,4,0,1,1,-1
213,Private-Equity Firm Altaris to Acquire Analogic for $1.1 Billion,The Wall Street Journal,2018,4,10,4,0,1,1,-1
214,Cybersecurity Company Expel Raises $20 Million in Series B,The Wall Street Journal,2018,4,10,4,0,1,1,0
215,What Trump’s Border Troops Can’t Do,The Wall Street Journal,2018,4,10,4,0,1,1,-1
216,Trump and China Share a Bad Idea on Trade,The Wall Street Journal,2018,4,10,4,0,1,1,-1
217,U.S. Accuses Chinese Firms of Rerouting Goods to Disguise Their Origin,The Wall Street Journal,2018,4,10,4,0,1,1,-1
218,Navy Admiral Tapped to Head U.S. Forces in the Pacific,The Wall Street Journal,2018,4,10,4,0,1,1,1
219,"Barclays, Bpifrance Back Symphony Communication",The Wall Street Journal,2018,4,10,4,0,1,1,1
220,First Reserve Acquires CHA Consulting From Long Point Capital,The Wall Street Journal,2018,4,10,4,0,1,1,1
221,Theranos Lays Off Most of Its Remaining Workforce,The Wall Street Journal,2018,4,10,4,0,1,1,-1
222,How Companies Can Manage Risks Tied to Open-Source Software,The Wall Street Journal,2018,4,10,4,0,1,1,1
223,Tax Cut Growth Dividend,The Wall Street Journal,2018,4,10,4,0,1,1,1
224,U.S. Presses Allies to Back a Military Strike on Syria,The Wall Street Journal,2018,4,10,4,0,1,1,-1
225,A Mad Night for European Soccer—and a Pair of Boston Owners,The Wall Street Journal,2018,4,10,4,0,1,1,0
226,"At Cosby Retrial, Prosecutors, Defense Clash Over Accusations",The Wall Street Journal,2018,4,10,4,0,1,1,-1
227,Notable & Quotable: Penn Law,The Wall Street Journal,2018,4,10,4,0,1,1,1
228,Mulvaney: CFPB Will Keep Policing Lending-Discrimination Rules,The Wall Street Journal,2018,4,10,4,0,1,1,1
229,White House Homeland Security Adviser Bossert Exits,The Wall Street Journal,2018,4,10,4,0,1,1,0
230,Senators Warn Zuckerberg of New Tech Regulations,The Wall Street Journal,2018,4,10,4,0,1,1,-1
231,Feds Seek Stormy Daniels Documents From Trump Organization,The Wall Street Journal,2018,4,10,4,0,1,1,-1
232,Zuora Boosts IPO Price Range,The Wall Street Journal,2018,4,10,4,0,1,1,1
233,Facebook’s Zuckerberg Hints at Possibility of Paid Service,The Wall Street Journal,2018,4,10,4,0,1,1,-1
234,"Jan Medical, Army Team Up to Speed Concussion Diagnosis",The Wall Street Journal,2018,4,10,4,0,1,1,1
235,Beijing’s Trade Straddle,The Wall Street Journal,2018,4,10,4,0,1,1,-1
236,Manhattan Federal Prosecutor Recuses Himself from Cohen Probe,The Wall Street Journal,2018,4,10,4,0,1,1,-1
237,Council Speaker Pushes Half-Price MetroCards for Low-Income New Yorkers,The Wall Street Journal,2018,4,10,4,0,1,1,0
238,What If President Donald Trump Tries to Fire Robert Mueller?,The Wall Street Journal,2018,4,10,4,0,1,1,-1
239,U.S. Stocks Surge as Trade Fears Ease,The Wall Street Journal,2018,4,10,4,0,1,1,0
240,Trump Signs Executive Order for Revamp of Federal Aid Programs,The Wall Street Journal,2018,4,10,4,0,1,1,-1
241,Stormy Weather for Campaign-Finance Laws,The Wall Street Journal,2018,4,10,4,0,1,1,-1
242,White House Says Trump Has Power to Fire Mueller,The Wall Street Journal,2018,4,10,4,0,1,1,-1
243,"Zuckerberg Pleases Investors, for Now",The Wall Street Journal,2018,4,10,4,0,1,1,1
244,Randles’s Take: Gawker Bankruptcy Lawyer Says Peter Thiel Loomed Large in the Case,The Wall Street Journal,2018,4,10,4,0,1,1,1
245,Puerto Rico’s $18 Billion Sales Tax Dispute Nears Conclusion,The Wall Street Journal,2018,4,10,4,0,1,1,0
246,Photos of the Day: April 10,The Wall Street Journal,2018,4,10,4,0,1,1,1
247,Trump’s Big Gamble,The Wall Street Journal,2018,4,10,4,0,1,1,0
248,U.S. Is Reducing African Front-Line Presence,The Wall Street Journal,2018,4,10,4,0,1,1,-1
249,Former CIA Officer Charged in China Espionage Case,The Wall Street Journal,2018,5,8,5,0,1,1,1
250,Why Ben Carson Is Raising Rents,The Wall Street Journal,2018,5,8,5,0,1,1,-1
251,Mike Braun Wins Indiana’s Republican Senate Primary,The Wall Street Journal,2018,5,8,5,0,1,1,1
252,Special Prosecutor Named to Investigate Eric Schneiderman,The Wall Street Journal,2018,5,8,5,0,1,1,1
253,"Trump Lawyer Received $500,000 From Firm Linked to Russian Oligarch",The Wall Street Journal,2018,5,8,5,0,1,1,-1
254,Health Data Platform Innovaccer Pockets $25 Million Expansion Round,The Wall Street Journal,2018,5,8,5,0,1,1,1
255,Another Venezuela Creditor Zeroes In on Citgo,The Wall Street Journal,2018,5,8,5,0,1,1,-1
256,Digital-Health Startup Wellist Secures $10 Million Series A,The Wall Street Journal,2018,5,8,5,0,1,1,1
257,Energy Stocks Flip From Market Dud to Darling,The Wall Street Journal,2018,5,8,5,0,1,1,-1
258,Trump Needs to Learn How to Trust,The Wall Street Journal,2018,5,8,5,0,1,1,-1
259,Congress Leery of Cuts to Children’s Health Program,The Wall Street Journal,2018,5,8,5,0,1,1,-1
