Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
Amway Made China a Billion-Dollar Market. Now It Faces a Crackdown.,The New York Times,2018,1,9,1,0,0,0,-1
Condé Nast Chooses a Digital-First Editor to Run Glamour,The New York Times,2018,1,9,1,0,0,0,-1
Apple Investors Warn iPhones and Other Technology May Be Hurting Children,The New York Times,2018,1,9,1,0,0,0,-1
"How Alabama Won the National Championship, Drive by Drive",The New York Times,2018,1,9,1,0,0,0,1
What Politicians Could Learn From Oprah Winfrey,The New York Times,2018,1,9,1,0,0,0,1
"In Deepest Cold, a Subway Car Becomes the Shelter of Last Resort",The New York Times,2018,1,9,1,0,0,0,-1
Fraternity Is Banned From Pennsylvania After Student’s Hazing Death,The New York Times,2018,1,9,1,0,0,0,-1
Republicans in Congress Are Failing America’s Children,The New York Times,2018,1,9,1,0,0,0,-1
What the President Doesn’t Get About Dogs,The New York Times,2018,1,9,1,0,0,0,0
We’re Not Ready for a Flu Pandemic,The New York Times,2018,1,9,1,0,0,0,-1
The Decline of Anti-Trumpism,The New York Times,2018,1,9,1,0,0,0,-1
Progress on Immigration,The Wall Street Journal,2018,1,9,1,0,1,1,1
Firm Retention Summary: Real Industry Inc.,The Wall Street Journal,2018,1,9,1,0,1,1,1
Raising Good Men in Our Enlightened Age,The Wall Street Journal,2018,1,9,1,0,1,1,1
Ira Rennert Blames Law Firm for $214 Million MagCorp Verdict,The Wall Street Journal,2018,1,9,1,0,1,1,-1
California’s Affirmative Action for ‘Marijuana Entrepreneurs’,The Wall Street Journal,2018,1,9,1,0,1,1,-1
Details on the Making of Trump Dossier Are Disclosed,The Wall Street Journal,2018,1,9,1,0,1,1,1
"Canada Outlook Shifts, as Currency and Bond Yields Jump",The Wall Street Journal,2018,1,9,1,0,1,1,-1
Photos of the Day: Jan. 9,The Wall Street Journal,2018,1,9,1,0,1,1,1
NGP Backs Pipeline Company Trilogy Midstream,The Wall Street Journal,2018,1,9,1,0,1,1,-1
Republicans Want Bigger Increase for Military Spending in Budget Talks,The Wall Street Journal,2018,1,9,1,0,1,1,-1
"Puerto Rico still in emergency response mode, FEMA chief says",The Washington Times,2018,1,9,1,0,1,2,0
CNN claims to have called security to remove Stephen Miller off set,The Washington Times,2018,1,9,1,0,1,2,-1
Top Democrats accuse Trump of politicizing tax cuts,The Washington Times,2018,1,9,1,0,1,2,-1
"In a civil society institutions matter, and so does due process",The Washington Times,2018,1,9,1,0,1,2,1
Donald Trump hunts for funding for infrastructure plan,The Washington Times,2018,1,9,1,0,1,2,-1
Senate Leaders Reach Budget Deal to Raise Spending Over Two Years,The New York Times,2018,2,8,2,0,0,0,1
"Rob Porter, White House Aide, Resigns After Accusations of Abuse",The New York Times,2018,2,8,2,0,0,0,-1
Pelosi Stands Up for ‘Dreamers’,The New York Times,2018,2,8,2,0,0,0,1
Trump Wants a Military Parade. But Not Everyone Is in Step.,The New York Times,2018,2,8,2,0,0,0,-1
"At 11th Hour, Status of Russian Olympians Remains Uncertain",The New York Times,2018,2,8,2,0,0,0,-1
Success of Russia’s Female Figure Skaters Takes a Toll in Injuries and Stress,The New York Times,2018,2,8,2,0,0,0,1
Curious About the Lives of North Korea’s Isolated Athletes? Here’s a Glimpse,The New York Times,2018,2,8,2,0,0,0,1
A K-Pop Primer for Olympic Listening,The New York Times,2018,2,8,2,0,0,0,1
"The Subway Is Being Fixed, but Can Riders Tell?",The New York Times,2018,2,8,2,0,0,0,-1
Turnstile Jumping Pits de Blasio Against Police Reformers,The New York Times,2018,2,8,2,0,0,0,-1
"In Los Angeles, a Billionaire Doctor Takes On an Ailing Newspaper",The New York Times,2018,2,8,2,0,0,0,-1
A Crazy Idea for Funding Local News: Charge People for It,The New York Times,2018,2,8,2,0,0,0,-1
They Only Look Casual,The New York Times,2018,2,8,2,0,0,0,-1
Baquer Namazi Shouldn’t Have to Die in an Iranian Prison,The New York Times,2018,2,8,2,0,0,0,1
"President Trump, if You’re Innocent, Why Act So Guilty?",The New York Times,2018,2,8,2,0,0,0,-1
Funding Snapshot: Honest Buildings Adds $8 Million to Series B,The Wall Street Journal,2018,2,8,2,0,1,1,1
Satellite Operators Pitch Plan to Share Airwaves,The Wall Street Journal,2018,2,8,2,0,1,1,1
Oil Down Another 1% in Asia as Iran Looks to Pump,The Wall Street Journal,2018,2,8,2,0,1,1,-1
Who Made Xi Jinping Pope?,The Wall Street Journal,2018,2,8,2,0,1,1,-1
The Cavs Go Crazy at the NBA’s Trade Deadline,The Wall Street Journal,2018,2,8,2,0,1,1,-1
Emerging Markets Hang Tough During Global Selloff,The Wall Street Journal,2018,2,8,2,0,1,1,-1
Trump Is Urged to Preserve International Entrepreneur Rule,The Wall Street Journal,2018,2,8,2,0,1,1,0
White House Offers Regrets About Handling of Rob Porter Allegations,The Wall Street Journal,2018,2,8,2,0,1,1,-1
Christopher Steele's Trump dossier info led FBI to mislead FISA judge,The Washington Times,2018,2,8,2,0,1,2,-1
'Black Panther' claim by Salon roasted; moviegoers mock 'first' blockbuster black hero tweet,The Washington Times,2018,2,8,2,0,1,2,-1
DNC hackers also targeted America's most secret military programs: Report,The Washington Times,2018,2,8,2,0,1,2,-1
"Cliven Bundy, sons file lawsuits over public lands, Oregon standoff",The Washington Times,2018,2,8,2,0,1,2,0
'Cliff Burton Day' designated for late Metallica bassist,The Washington Times,2018,2,8,2,0,1,2,-1
John Wall absence decidedly does not make Wizards better,The Washington Times,2018,2,8,2,0,1,2,-1
'Moral combat' is a game any number can play,The Washington Times,2018,2,8,2,0,1,2,1
Alex Jones is a menace to society. I’m suing him.,The Washington Post,2018,3,14,3,0,0,1,-1
Mattel has no business turning Frida Kahlo into a Barbie,The Washington Post,2018,3,14,3,0,0,1,-1
Samantha Power: How Mike Pompeo Could Save the State Department,The New York Times,2018,3,14,3,0,0,0,1
The Story of an Afghan Baby Named Donald Trump,The New York Times,2018,3,14,3,0,0,0,0
Trump Finds Unlikely Culprit in School Shootings: Obama Discipline Policies,The New York Times,2018,3,14,3,0,0,0,-1
Trump’s Killing of Chip Deal Pushes Protectionism as It Invokes Security,The New York Times,2018,3,14,3,0,0,0,1
"Trade Wars Can Be a Game of Chicken. Sometimes, Literally.",The New York Times,2018,3,14,3,0,0,0,-1
"Even With Takeover Bid Blocked, Qualcomm ‘Is in a Tight Spot’",The New York Times,2018,3,14,3,0,0,0,0
Ice Cube Fires Big3 League’s Commissioner Amid Scandal,The New York Times,2018,3,14,3,0,0,0,-1
"After Fatal Helicopter Crash, ‘Urgent’ Focus on Use of Harnesses",The New York Times,2018,3,14,3,0,0,0,1
Murphy’s First Budget Is Focused on Progressive Policies and New Taxes,The New York Times,2018,3,14,3,0,0,0,1
"Ken Dodd, Veteran British Comedian, Is Dead at 90",The New York Times,2018,3,14,3,0,0,0,-1
Having a Torturer Lead the C.I.A.,The New York Times,2018,3,14,3,0,0,0,-1
"Dear National Rifle Association: We Won’t Let You Win. From, Teenagers.",The New York Times,2018,3,14,3,0,0,0,-1
Turning Back the Clock on Protecting Alaska’s Wild Lands,The New York Times,2018,3,14,3,0,0,0,-1
"Dropbox Pitches Investors on Scale, Growth and Collaboration",The Wall Street Journal,2018,3,14,3,0,1,1,1
Judge Ousts CEO of Bankrupt Legal Plan Provider,The Wall Street Journal,2018,3,14,3,0,1,1,-1
The Dark Underbelly of Europe’s Financial System,The Wall Street Journal,2018,3,14,3,0,1,1,-1
The Pyongyang-Tehran Axis,The Wall Street Journal,2018,3,14,3,0,1,1,1
"Since Parkland’s #NeverAgain, School Shootings Have Happened Again",The Wall Street Journal,2018,3,14,3,0,1,1,-1
Photos of the Day: March 14,The Wall Street Journal,2018,3,14,3,0,1,1,1
Toys ‘R’ Us Tells Workers It Will Likely Close All U.S. Stores,The Wall Street Journal,2018,3,14,3,0,1,1,-1
Kirk Cousins makes his history with Vikings deal,The Washington Times,2018,3,14,3,0,1,2,1
A pope and an imam,The Washington Times,2018,3,14,3,0,1,2,1
Obama aide started Christopher Steele-FBI Alliance,The Washington Times,2018,3,14,3,0,1,2,-1
Brandon Kintzler has the answers,The Washington Times,2018,3,14,3,0,1,2,1
"Auto fuel-economy standards won't extend past 2025, EPA chief says",The Washington Times,2018,3,14,3,0,1,2,-1
Senators push school safety bill ahead of expected House vote,The Washington Times,2018,3,14,3,0,1,2,1
"De'Andre Hunter, Virginia freshman, out for NCAA Tournament with broken wrist",The Washington Times,2018,3,14,3,0,1,2,0
Some teachers expected to cut class with students at National School Walkout for gun control,The Washington Times,2018,3,14,3,0,1,2,-1
I worked for Sinclair. I had to quit.,The Washington Post,2018,4,10,4,0,0,1,-1
How Sinclair became the most insidious force in local TV news,The Washington Post,2018,4,10,4,0,0,1,0
F.B.I. Raids Office of Trump’s Longtime Lawyer Michael Cohen; Trump Calls It ‘Disgraceful’,The New York Times,2018,4,10,4,0,0,0,-1
"Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance",The New York Times,2018,4,10,4,0,0,0,-1
Israel Suspected of Striking Syrian Air Base,The New York Times,2018,4,10,4,0,0,0,-1
Bill Cosby Paid His Sex Assault Accuser $3.38 Million in Settlement,The New York Times,2018,4,10,4,0,0,0,-1
Rick Scott Senate Run Returns Florida to Battleground,The New York Times,2018,4,10,4,0,0,0,1
The Big Question for Markets: Is There a Kudlow or Powell ‘Put’?,The New York Times,2018,4,10,4,0,0,0,-1
What Mark Zuckerberg Will Be Grilled On at the Congressional Hearings,The New York Times,2018,4,10,4,0,0,0,1
"As Cleveland Indians Prepare to Part With Chief Wahoo, Tensions Reignite",The New York Times,2018,4,10,4,0,0,0,-1
Embattled Housing Authority Chief in New York City Is Resigning,The New York Times,2018,4,10,4,0,0,0,-1
That Python in the Pet Store? It May Have Been Snatched From the Wild,The New York Times,2018,4,10,4,0,0,0,-1
Bananas vs. Sports Drinks? Bananas Win in Study,The New York Times,2018,4,10,4,0,0,0,1
"Eric Bristow, the First Superstar of Darts, Is Dead at 60",The New York Times,2018,4,10,4,0,0,0,-1
"In Syria, Trump Faces the Limits of Bluster",The New York Times,2018,4,10,4,0,0,0,-1
Nutrition Data Startup Nutrino Gobbles Up $8 Million in Funding,The Wall Street Journal,2018,4,10,4,0,1,1,1
Trump and China Share a Bad Idea on Trade,The Wall Street Journal,2018,4,10,4,0,1,1,-1
"At Cosby Retrial, Prosecutors, Defense Clash Over Accusations",The Wall Street Journal,2018,4,10,4,0,1,1,-1
Mulvaney: CFPB Will Keep Policing Lending-Discrimination Rules,The Wall Street Journal,2018,4,10,4,0,1,1,1
Facebook’s Zuckerberg Hints at Possibility of Paid Service,The Wall Street Journal,2018,4,10,4,0,1,1,-1
Photos of the Day: April 10,The Wall Street Journal,2018,4,10,4,0,1,1,1
Trump’s Big Gamble,The Wall Street Journal,2018,4,10,4,0,1,1,0
U.S. Is Reducing African Front-Line Presence,The Wall Street Journal,2018,4,10,4,0,1,1,-1
Black Lives Matter Facebook page 'scam' tied to 'middle-aged white man in Australia': report,The Washington Times,2018,4,10,4,0,1,2,-1
Shohei Ohtani is a shot in the arm for baseball,The Washington Times,2018,4,10,4,0,1,2,1
"Feds seize Backpage.com, seven charged with promoting prostitution",The Washington Times,2018,4,10,4,0,1,2,-1
Capital gains must be protected from inflation,The Washington Times,2018,4,10,4,0,1,2,0
Dave Martinez won't panic after 5 straight Nationals losses,The Washington Times,2018,4,10,4,0,1,2,1
Gun control? London's Muslim Mayor Sadiq Khan bans knives,The Washington Times,2018,4,10,4,0,1,2,-1
'The Greatest Showman' 4K UHD review,The Washington Times,2018,4,10,4,0,1,2,0
"Hawaii has made peace with its angry volcano; not so its tsunamis, hurricanes and heating Earth",The Washington Post,2018,5,8,5,0,0,1,1
Banning Chinese phones won’t fix security problems with our electronic supply chain,The Washington Post,2018,5,8,5,0,0,1,-1
"Gina Haspel Has the Experience to Run the C.I.A., and That May Be Her Biggest Problem",The New York Times,2018,5,8,5,0,0,0,-1
"The Pleasure and Pain of Being California, the World’s 5th-Largest Economy",The New York Times,2018,5,8,5,0,0,0,1
Trump Weighs In on West Virginia Senate Race in Sign of Republican Anxiety,The New York Times,2018,5,8,5,0,0,0,-1
Air France Dispute Threatens to Escalate Macron’s Battle With Labor,The New York Times,2018,5,8,5,0,0,0,-1
Bitcoin Sees Wall Street Warm to Trading Virtual Currency,The New York Times,2018,5,8,5,0,0,0,1
"After Fatal Uber Crash, a Self-Driving Start-Up Moves Forward",The New York Times,2018,5,8,5,0,0,0,1
He Was Convicted of Molesting a 6-Year Old. Should He Have a Future in Baseball?,The New York Times,2018,5,8,5,0,0,0,-1
"Valee, Kanye West’s New Signee, Is a Rapper Who Just Might Build You a Koi Pond",The New York Times,2018,5,8,5,0,0,0,1
"On the Mattress for ‘Sleep,’ an 8-Hour Lullaby",The New York Times,2018,5,8,5,0,0,0,-1
Nixon Pushes Cuomo to Debate: ‘What’s It Going to Be Andrew?’,The New York Times,2018,5,8,5,0,0,0,1
"Pierre Rissient, 81, Behind-the-Scenes Force of Cinema, Dies",The New York Times,2018,5,8,5,0,0,0,0
What Will New York Do About Its Uber Problem?,The New York Times,2018,5,8,5,0,0,0,-1
Why Did a Creepy Israeli Intel Firm Spy on Obama Alums?,The New York Times,2018,5,8,5,0,0,0,-1
Digital-Health Startup Wellist Secures $10 Million Series A,The Wall Street Journal,2018,5,8,5,0,1,1,1
Trial Begins on Orianna Restructuring Decried by Creditors,The Wall Street Journal,2018,5,8,5,0,1,1,-1
"Comcast Crashes Disney’s Fox Hunt, But Victory Isn’t Assured",The Wall Street Journal,2018,5,8,5,0,1,1,0
Start Cutting Spending—and Don’t Stop,The Wall Street Journal,2018,5,8,5,0,1,1,-1
Why N.Y. Pols Aren’t World Class,The Wall Street Journal,2018,5,8,5,0,1,1,-1
Haspel to Tell Senators CIA Won’t Revive Old Interrogation Methods,The Wall Street Journal,2018,5,8,5,0,1,1,-1
Richard Cordray Wins Ohio Democratic Gubernatorial Primary,The Wall Street Journal,2018,5,8,5,0,1,1,1
‘Rooted Cosmopolitans’ Review: Of Persons and Peoples,The Wall Street Journal,2018,5,8,5,0,1,1,1
"MetLife to Take Over Pensions for 41,000 FedEx Retirees",The Wall Street Journal,2018,5,8,5,0,1,1,-1
"Donald Trump slams Russia investigation, calls obstruction claims 'phony'",The Washington Times,2018,5,8,5,0,1,2,-1
NFLPA file grievances on behalf of Eric Reid,The Washington Times,2018,5,8,5,0,1,2,0
"America's faith is a beacon, and must not be extinguished",The Washington Times,2018,5,8,5,0,1,2,1
Oliver North to serve as next president of the NRA,The Washington Times,2018,5,8,5,0,1,2,1
Donald Trump slams West Virginia GOP Senate candidate Don Blankenship,The Washington Times,2018,5,8,5,0,1,2,-1
'Rescission' package: Donald Trump to demand Congress cut $15 billion in spending,The Washington Times,2018,5,8,5,0,1,2,-1
The Districts Are Mostly White. The Candidates Are Not.,The New York Times,2018,7,20,6,0,0,0,-1
American Accused of Being ISIS Fighter in Syria Faces Prosecution in U.S.,The New York Times,2018,7,20,6,0,0,0,-1
"Erdogan, Flush With Victory, Seizes New Powers in Turkey",The New York Times,2018,7,20,6,0,0,0,1
You’ve Heard of Berkeley. Is Merced the Future of the University of California?,The New York Times,2018,7,20,6,0,0,0,1
Trump Tries a Familiar Tactic: Providing a New Story Line,The New York Times,2018,7,20,6,0,0,0,-1
"On Trump’s Car Tariffs, Companies Are United in Dissent",The New York Times,2018,7,20,6,0,0,0,0
What Stays on Facebook and What Goes? The Social Network Cannot Answer,The New York Times,2018,7,20,6,0,0,0,-1
Trump Tried to Protect Qualcomm. Now His Trade War May Be Hurting It.,The New York Times,2018,7,20,6,0,0,0,-1
British Open: A Relaxed Kevin Kisner Putts His Way to an Early Lead,The New York Times,2018,7,20,6,0,0,0,1
"Thrills, Tears and the Real Gone Girls of Cinema",The New York Times,2018,7,20,6,0,0,0,1
Review: Taming ‘The Taming of the Shrew’ Under a Tent,The New York Times,2018,7,20,6,0,0,0,-1
Review: ‘Mamma Mia! Here We Go Again’ Takes a Detour and Loses Its Kick,The New York Times,2018,7,20,6,0,0,0,-1
Review: ‘Blindspotting’ Walks a Tense Line in a Gentrifying Oakland,The New York Times,2018,7,20,6,0,0,0,1
"Man Says Cardinal McCarrick, His ‘Uncle Ted,’ Sexually Abused Him for Years",The New York Times,2018,7,20,6,0,0,0,-1
A $5.1 Billion Fine for Google Won’t Fix Tech,The New York Times,2018,7,20,6,0,0,0,-1
Deal Close Announcements: July 16-20,The Wall Street Journal,2018,7,20,6,0,1,1,-1
Facebook Suspends Analytics Firm on Concerns About Sharing of Public User-Data,The Wall Street Journal,2018,7,20,6,0,1,1,-1
Dollar’s Plunge Lifts Gold,The Wall Street Journal,2018,7,20,6,0,1,1,0
Hedge Fund Titan Paulson Takes on Tiny Toronto Gold Miner,The Wall Street Journal,2018,7,20,6,0,1,1,-1
China’s Yuan Fluctuates as Trade Clash Creates Uncertainty,The Wall Street Journal,2018,7,20,6,0,1,1,-1
The Score: The Business Week in 7 Stocks,The Wall Street Journal,2018,7,20,6,0,1,1,0
Cohen Taped Conversation With Trump About Rights to Model’s Story,The Wall Street Journal,2018,7,20,6,0,1,1,0
Photos of the Day: July 20,The Wall Street Journal,2018,7,20,6,0,1,1,1
Masculine Dads Raise Confident Daughters,The Wall Street Journal,2018,7,20,6,0,1,1,1
Is President Trump Illegitimate?,The Wall Street Journal,2018,7,20,6,0,1,1,-1
Dwayne 'The Rock' Johnson criticized by Paralympian actress for playing amputee In 'Skyscraper',The Washington Times,2018,7,20,6,0,1,2,-1
HHS explores importation of certain drugs; Azar points to limited scenarios to avoid price shocks,The Washington Times,2018,7,20,6,0,1,2,1
EDITORIAL: Trump seems to understand that diplomacy is rarely a quick fix,The Washington Times,2018,7,20,6,0,1,2,-1
Iran-backed Yemen rebels expose limits of U.S. strategy,The Washington Times,2018,7,20,6,0,1,2,-1
NFL freezes anthem protest policy,The Washington Times,2018,7,20,6,0,1,2,-1
Not all senior citizens need discounts. But all low-income people do.,The Washington Post,2018,10,15,7,0,0,1,-1
"Sears, the Original Everything Store, Files for Bankruptcy",The New York Times,2018,10,15,7,0,0,0,-1
Abortion Was Illegal. This Secret Group Defied the Law.,The New York Times,2018,10,15,7,0,0,0,-1
"On Eve of Harvard Bias Trial, Dueling Rallies Show Rifts Among Asian-Americans",The New York Times,2018,10,15,7,0,0,0,-1
Democrats Want to Beat Scott Walker. But the Wisconsin Economy Is a Hurdle.,The New York Times,2018,10,15,7,0,0,0,-1
He’s ‘One of Us’: The Undying Bond Between the Bible Belt and Trump,The New York Times,2018,10,15,7,0,0,0,1
Jeff Hawkins Is Finally Ready to Explain His Brain Research,The New York Times,2018,10,15,7,0,0,0,1
"Racial Abuse, Then a Beating, on a French Soccer Field",The New York Times,2018,10,15,7,0,0,0,-1
Nicole Maines on Becoming TV’s First Transgender Superhero,The New York Times,2018,10,15,7,0,0,0,1
He Wanted to Be an Informant. The F.B.I. Arrested Him Instead.,The New York Times,2018,10,15,7,0,0,0,-1
Marie Antoinette’s Jewels Are Here. Now’s Your Chance to Try Them on.,The New York Times,2018,10,15,7,0,0,0,1
Would You Want the Place Where You Were Married to Become a Jail?,The New York Times,2018,10,15,7,0,0,0,-1
Need a Song for Your Commercial? Try These Campers,The New York Times,2018,10,15,7,0,0,0,1
‘First Man’ Is No Match for ‘Venom’ and ‘A Star Is Born’,The New York Times,2018,10,15,7,0,0,0,0
"Natan Wekselbaum, 83, Dies; Built a Cornucopia of Housewares",The New York Times,2018,10,15,7,0,0,0,-1
What Hillsdale Can Teach Harvard,The Wall Street Journal,2018,10,15,7,0,1,1,1
Seritage Seeks to Reassure Shareholders After Sears Bankruptcy,The Wall Street Journal,2018,10,15,7,0,1,1,1
‘King Kong’ Holding His Own in Broadway Debut,The Wall Street Journal,2018,10,15,7,0,1,1,1
Democrats for Big Money,The Wall Street Journal,2018,10,15,7,0,1,1,-1
Private Equity-Backed Yeti Sets IPO Price Range,The Wall Street Journal,2018,10,15,7,0,1,1,-1
"Trump Visits Hurricane-Torn Florida, Georgia",The Wall Street Journal,2018,10,15,7,0,1,1,0
Hollywood Talent Agency Seeks to Cancel Investment From Saudi Arabia,The Wall Street Journal,2018,10,15,7,0,1,1,-1
Democrats Abandon the Constitution,The Wall Street Journal,2018,10,15,7,0,1,1,-1
NBC News issues correction on Grant-Lee coverage after Trump balks,The Washington Times,2018,10,15,7,0,1,2,-1
"Ted Wheeler, Portland mayor, stands by decision to allow Antifa to block traffic",The Washington Times,2018,10,15,7,0,1,2,1
Bernie Sanders disagrees with liberal protesters confronting Republican officials in public,The Washington Times,2018,10,15,7,0,1,2,-1
Military aircraft readiness a struggle with aging fleet,The Washington Times,2018,10,15,7,0,1,2,-1
Dianne Feinstein on track to win re-election bid in California,The Washington Times,2018,10,15,7,0,1,2,1
"Chris Thompson, Jamison Crowder not expected to play vs. Panthers: Report",The Washington Times,2018,10,15,7,0,1,2,0
EDITORIAL: Europe is beginning to pay a fair share for its own defense,The Washington Times,2018,10,15,7,0,1,2,-1
"In Campaign’s Homestretch, Trump Tosses Out Ideas to See What Sticks",The New York Times,2018,10,31,8,0,0,0,-1
Whitey Bulger Is Dead in Prison at 89; Long-Hunted Boston Mob Boss,The New York Times,2018,10,31,8,0,0,0,1
"Female Candidates Break Barriers, Except When It Comes to Money",The New York Times,2018,10,31,8,0,0,0,1
Inside A North Dakota Tribe’s Fight to Vote,The New York Times,2018,10,31,8,0,0,0,0
"As Merkel Eyes Exit, Nervous E.U. Wonders Who’ll Take the Stage",The New York Times,2018,10,31,8,0,0,0,0
"As World’s Air Gets Worse, India Struggles to Breathe",The New York Times,2018,10,31,8,0,0,0,-1
"A Mobster of Many Enemies, Whitey Bulger May Have Been Killed in a Hit",The New York Times,2018,10,31,8,0,0,0,-1
Parts of America Are Still Struggling Economically. They Don’t Matter Much in the Midterms.,The New York Times,2018,10,31,8,0,0,0,-1
Job No. 1 for G.E.’s New Chief: Fix Its Ailing Power Business,The New York Times,2018,10,31,8,0,0,0,1
Giants Quarterback Kyle Lauletta Accused of Almost Hitting Officer With Car,The New York Times,2018,10,31,8,0,0,0,-1
"In Echo of Flint, Mich., Water Crisis Now Hits Newark",The New York Times,2018,10,31,8,0,0,0,1
Political Mailer Prompts Charges of Anti-Semitism,The New York Times,2018,10,31,8,0,0,0,-1
"The Evolution of a Restaurant Dish, From Vision to Revision",The New York Times,2018,10,31,8,0,0,0,1
"Baroo Has Closed, but Leaves a Rare Culinary Legacy in Los Angeles",The New York Times,2018,10,31,8,0,0,0,1
"I Thought the Web Would Stop Hate, Not Spread It",The New York Times,2018,10,31,8,0,0,0,-1
Workers’ Pay Rises at Fastest Rate in a Decade,The Wall Street Journal,2018,10,31,8,0,1,1,1
Brickley’s Take: Cobalt Settles with Whitton and Shareholders,The Wall Street Journal,2018,10,31,8,0,1,1,1
Bankrupt Kaiser Gypsum Clashes With Regulators Over Plant Cleanup,The Wall Street Journal,2018,10,31,8,0,1,1,-1
Former Oil Company Director Pleads Guilty in Money-Laundering Probe,The Wall Street Journal,2018,10,31,8,0,1,1,-1
"Sex Abuse is Rampant in North Korea, Reports Say",The Wall Street Journal,2018,10,31,8,0,1,1,-1
"Accused Mail Bomber’s Laptop Contained Searches for Targets’ Addresses, Prosecutors Say",The Wall Street Journal,2018,10,31,8,0,1,1,-1
University of Maryland Fires Embattled Football Coach,The Wall Street Journal,2018,10,31,8,0,1,1,-1
Birthright Citizenship Is a Constitutional Mandate,The Wall Street Journal,2018,10,31,8,0,1,1,1
"Alta Growth, Nexxus Capital Back Mexican Retail Company",The Wall Street Journal,2018,10,31,8,0,1,1,1
The Many Faces of Jew-Hatred,The Wall Street Journal,2018,10,31,8,0,1,1,-1
Redskins trade for Clinton-Dix to fit in with sudden trade-happy NFL,The Washington Times,2018,10,31,8,0,1,2,1
"James Cromwell, actor, warns of 'revolution': 'There will be blood in the streets' if Democrats lose",The Washington Times,2018,10,31,8,0,1,2,-1
Donald Trump to employ 'unconstitutional' Obama method to end birthright citizenship,The Washington Times,2018,10,31,8,0,1,2,-1
"Kanye West breaks with Candace Owens, 'Blexit'",The Washington Times,2018,10,31,8,0,1,2,-1
