Headline,Source,Year,Month,Day,Date_id,Pre-Covid,Bias,Cred,Sentiment
"In Chilly Start to 2nd Term, Mayor Looks Beyond New York",The New York Times,2018,1,2,0,0,0,0,-1
"Teterboro Airport: Steeped in Glamour, History and Noise",The New York Times,2018,1,2,0,0,0,0,1
Conquering Her Mobility Obstacles With an Upbeat Attitude,The New York Times,2018,1,2,0,0,0,0,1
"To Sate China’s Demand, African Donkeys Are Stolen and Skinned",The New York Times,2018,1,2,0,0,0,0,-1
U.F.O.s: Is This All There Is?,The New York Times,2018,1,2,0,0,0,0,-1
Beach Crawling Doesn’t Tire Out Baby Sea Turtles,The New York Times,2018,1,2,0,0,0,0,1
"Calestous Juma, 64, Dies; Sought Innovation in African Agriculture",The New York Times,2018,1,2,0,0,0,0,-1
"Maura Jacobson, Creator of Witty Crosswords, Dies at 91",The New York Times,2018,1,2,0,0,0,0,-1
‘A New Progressive Era’ in New York City,The New York Times,2018,1,2,0,0,0,0,1
Can the Economy Keep Calm and Carry On?,The New York Times,2018,1,2,0,0,0,0,0
The Retreat to Tribalism,The New York Times,2018,1,2,0,0,0,0,-1
States Pay the Price When You Buy Online,The New York Times,2018,1,2,0,0,0,0,0
"Trump Administration Says That Nearly 200,000 Salvadorans Must Leave",The New York Times,2018,1,9,1,0,0,0,-1
Fusion GPS Founder Hauled From the Shadows for the Russia Election Investigation,The New York Times,2018,1,9,1,0,0,0,-1
Oprah 2020? Democrats Swing From Giddy to Skeptical at the Prospect,The New York Times,2018,1,9,1,0,0,0,-1
"At J.F.K. Airport, the Planes Just Wouldn’t Stop Coming",The New York Times,2018,1,9,1,0,0,0,-1
"Oprah, Don’t Do It",The New York Times,2018,1,9,1,0,0,0,-1
Nigerian Migrants Get a Welcome Home. Jobs Are Another Story.,The New York Times,2018,1,9,1,0,0,0,1
A Visa-Free Zone Welcomes Your Wallet. But Maybe Not Your Beard.,The New York Times,2018,1,9,1,0,0,0,-1
"North Korea to Send Olympic Athletes to South Korea, in Breakthrough",The New York Times,2018,1,9,1,0,0,0,1
These Billion-Dollar Natural Disasters Set a U.S. Record in 2017,The New York Times,2018,1,9,1,0,0,0,0
Charges Against Bundys in Ranch Standoff Case Are Dismissed,The New York Times,2018,1,9,1,0,0,0,0
Awkward: Brownback Said He Was Leaving as Kansas Governor. He Hasn’t.,The New York Times,2018,1,9,1,0,0,0,-1
Mueller Interview With Trump Is Said to Be Likely,The New York Times,2018,1,9,1,0,0,0,0
"To Pay for Wall, Trump Would Cut Proven Border Security Measures",The New York Times,2018,1,9,1,0,0,0,-1
Strong Economies Lift Presidents. Trump Seems an Exception.,The New York Times,2018,1,9,1,0,0,0,1
Tech Backlash Grows as Investors Press Apple to Act on Children’s Use,The New York Times,2018,1,9,1,0,0,0,-1
"Tax Law May Send Factories and Jobs Abroad, Critics Say",The New York Times,2018,1,9,1,0,0,0,-1
Amway Made China a Billion-Dollar Market. Now It Faces a Crackdown.,The New York Times,2018,1,9,1,0,0,0,-1
Condé Nast Chooses a Digital-First Editor to Run Glamour,The New York Times,2018,1,9,1,0,0,0,-1
Toymaker VTech Settles Charges of Violating Child Privacy Law,The New York Times,2018,1,9,1,0,0,0,-1
Apple Investors Warn iPhones and Other Technology May Be Hurting Children,The New York Times,2018,1,9,1,0,0,0,-1
"How Alabama Won the National Championship, Drive by Drive",The New York Times,2018,1,9,1,0,0,0,1
"After Pledging Reform, FIFA Pays Millions to Ruling Council",The New York Times,2018,1,9,1,0,0,0,0
"A Hoya Again, Patrick Ewing Learns Value of Knowing When to Pivot",The New York Times,2018,1,9,1,0,0,0,1
"After Globes, Women Declare Success. But What About the Men?",The New York Times,2018,1,9,1,0,0,0,0
What Politicians Could Learn From Oprah Winfrey,The New York Times,2018,1,9,1,0,0,0,1
A Mega-Dealer Expands: David Zwirner Plans a New Art Gallery,The New York Times,2018,1,9,1,0,0,0,1
"In Deepest Cold, a Subway Car Becomes the Shelter of Last Resort",The New York Times,2018,1,9,1,0,0,0,-1
Fraternity Is Banned From Pennsylvania After Student’s Hazing Death,The New York Times,2018,1,9,1,0,0,0,-1
"Making a Home Her Own, and a Refuge for Others",The New York Times,2018,1,9,1,0,0,0,1
Brain Surgery in 3-D: Coming Soon to the Operating Theater,The New York Times,2018,1,9,1,0,0,0,1
"In Africa, Geneticists Are Hunting Poachers",The New York Times,2018,1,9,1,0,0,0,-1
"W.H.O. Approves a Safe, Inexpensive Typhoid Vaccine",The New York Times,2018,1,9,1,0,0,0,1
"Alan Sagner, Who Revitalized the Port Authority, Dies at 97",The New York Times,2018,1,9,1,0,0,0,-1
"Ray Thomas, Founding Member of the Moody Blues, Dies at 76",The New York Times,2018,1,9,1,0,0,0,-1
Tim Rollins Dies at 62; Turned Bronx Teenagers Into Art Stars,The New York Times,2018,1,9,1,0,0,0,-1
Republicans in Congress Are Failing America’s Children,The New York Times,2018,1,9,1,0,0,0,-1
What the President Doesn’t Get About Dogs,The New York Times,2018,1,9,1,0,0,0,0
We’re Not Ready for a Flu Pandemic,The New York Times,2018,1,9,1,0,0,0,-1
The Decline of Anti-Trumpism,The New York Times,2018,1,9,1,0,0,0,-1
Senate Leaders Reach Budget Deal to Raise Spending Over Two Years,The New York Times,2018,2,8,2,0,0,0,1
"Rob Porter, White House Aide, Resigns After Accusations of Abuse",The New York Times,2018,2,8,2,0,0,0,-1
"Angela Merkel Strikes New Deal With Old Partners, at a High Cost",The New York Times,2018,2,8,2,0,0,0,1
"In Sweeping War on Obesity, Chile Slays Tony the Tiger",The New York Times,2018,2,8,2,0,0,0,0
It’s Time for an Immigration Enchilada,The New York Times,2018,2,8,2,0,0,0,0
What Kind of Parade Does Trump Want?,The New York Times,2018,2,8,2,0,0,0,-1
Pelosi Stands Up for ‘Dreamers’,The New York Times,2018,2,8,2,0,0,0,1
Analyzing North Korea’s Parade Plans,The New York Times,2018,2,8,2,0,0,0,0
"On Northern Syria Front Line, U.S. and Turkey Head Into Tense Face-off",The New York Times,2018,2,8,2,0,0,0,-1
"Taiwan Earthquake Toll Rises to 9 Dead, With Dozens Missing",The New York Times,2018,2,8,2,0,0,0,-1
"‘Cheddar Man,’ Britain’s Oldest Skeleton, Had Dark Skin, DNA Shows",The New York Times,2018,2,8,2,0,0,0,-1
Trump Wants a Military Parade. But Not Everyone Is in Step.,The New York Times,2018,2,8,2,0,0,0,-1
"Muhiyidin Moye, Black Lives Matter Activist, Is Shot and Killed in New Orleans",The New York Times,2018,2,8,2,0,0,0,-1
"Pence, Returning to Tough Stance on North Korea, Announces New Sanctions",The New York Times,2018,2,8,2,0,0,0,-1
Pelosi Held House Floor in Advocacy of ‘Dreamers’ for More Than 8 Hours,The New York Times,2018,2,8,2,0,0,0,1
"Evangelicals, Having Backed Trump, Find White House ‘Front Door Is Open’",The New York Times,2018,2,8,2,0,0,0,-1
"He’s a Nazi, Republicans Warn, but He’s Their Likely Nominee for Congress",The New York Times,2018,2,8,2,0,0,0,-1
"Without Steve Wynn, Casino Empire Risks Losing More Than a Name",The New York Times,2018,2,8,2,0,0,0,-1
"For Korea Inc., Money and Politics Make an Awkward Olympics",The New York Times,2018,2,8,2,0,0,0,-1
"For Millennial Investors, a Harsh Lesson in Market Gyrations",The New York Times,2018,2,8,2,0,0,0,-1
"In ‘Brotopia,’ Silicon Valley Disrupts Everything but the Boys’ Club",The New York Times,2018,2,8,2,0,0,0,0
$2.4 Billion Deal for Chelsea Market Enlarges Google’s New York Footprint,The New York Times,2018,2,8,2,0,0,0,1
"At 11th Hour, Status of Russian Olympians Remains Uncertain",The New York Times,2018,2,8,2,0,0,0,-1
Success of Russia’s Female Figure Skaters Takes a Toll in Injuries and Stress,The New York Times,2018,2,8,2,0,0,0,1
Curious About the Lives of North Korea’s Isolated Athletes? Here’s a Glimpse,The New York Times,2018,2,8,2,0,0,0,1
Plagiarism Software Unveils a New Source for 11 of Shakespeare’s Plays,The New York Times,2018,2,8,2,0,0,0,-1
How Did ‘The Shape of Water’ Become the Film to Beat at the Oscars?,The New York Times,2018,2,8,2,0,0,0,-1
A K-Pop Primer for Olympic Listening,The New York Times,2018,2,8,2,0,0,0,1
"The Subway Is Being Fixed, but Can Riders Tell?",The New York Times,2018,2,8,2,0,0,0,-1
Turnstile Jumping Pits de Blasio Against Police Reformers,The New York Times,2018,2,8,2,0,0,0,-1
"Archbishop Sheen’s Body to Stay in New York, for Now",The New York Times,2018,2,8,2,0,0,0,1
Tronc Sells The Los Angeles Times to Local Billionaire for $500 Million,The New York Times,2018,2,8,2,0,0,0,-1
"In Los Angeles, a Billionaire Doctor Takes On an Ailing Newspaper",The New York Times,2018,2,8,2,0,0,0,-1
A Crazy Idea for Funding Local News: Charge People for It,The New York Times,2018,2,8,2,0,0,0,-1
They Only Look Casual,The New York Times,2018,2,8,2,0,0,0,-1
‘I Try Not to Look as if I’m Trying Too Hard’,The New York Times,2018,2,8,2,0,0,0,-1
When the Fashion Cycle Meets the Cycle of Life,The New York Times,2018,2,8,2,0,0,0,1
"Joseph Polchinski, 63, Leading Theorist on Multiple Universes, Dies",The New York Times,2018,2,8,2,0,0,0,-1
"Claribel Alegría, 93, Poet for Central America’s Voiceless, Dies",The New York Times,2018,2,8,2,0,0,0,-1
"Dr. Victor Sidel, Public Health Champion, Is Dead at 86",The New York Times,2018,2,8,2,0,0,0,-1
Trump’s Backward View of Immigration,The New York Times,2018,2,8,2,0,0,0,-1
Trump Wants a Big Parade. It Would Be a Big Mistake.,The New York Times,2018,2,8,2,0,0,0,-1
Baquer Namazi Shouldn’t Have to Die in an Iranian Prison,The New York Times,2018,2,8,2,0,0,0,1
Don’t Give Up on the International Space Station,The New York Times,2018,2,8,2,0,0,0,1
Trump’s Worst Watcher,The New York Times,2018,2,8,2,0,0,0,-1
"President Trump, if You’re Innocent, Why Act So Guilty?",The New York Times,2018,2,8,2,0,0,0,-1
"In Replacing Tillerson With Pompeo, Trump Turns to Loyalists Who Reflect ‘America First’ Views",The New York Times,2018,3,14,3,0,0,0,-1
"Gina Haspel, Trump’s Choice for C.I.A., Played Role in Torture Program",The New York Times,2018,3,14,3,0,0,0,-1
"Joseph Percoco, Ex-Cuomo Aide, Found Guilty in Corruption Trial",The New York Times,2018,3,14,3,0,0,0,-1
"As Putin’s Opponents Flocked to London, His Spies Followed",The New York Times,2018,3,14,3,0,0,0,-1
Samantha Power: How Mike Pompeo Could Save the State Department,The New York Times,2018,3,14,3,0,0,0,1
Why Trump Chose Mike Pompeo,The New York Times,2018,3,14,3,0,0,0,-1
The Story of an Afghan Baby Named Donald Trump,The New York Times,2018,3,14,3,0,0,0,0
Japan Fears Being Left Behind by Trump’s Talks With Kim Jong-un,The New York Times,2018,3,14,3,0,0,0,-1
Toxic Tea and Other Tales From an English Tree War,The New York Times,2018,3,14,3,0,0,0,-1
Explosions Rattle Austin as Calls About Suspicious Packages Mount,The New York Times,2018,3,14,3,0,0,0,-1
Florida Will Seek Execution of Nikolas Cruz in Parkland Shooting Trial,The New York Times,2018,3,14,3,0,0,0,-1
How Young Is Too Young for Protest? A National Gun-Violence Walkout Tests Schools,The New York Times,2018,3,14,3,0,0,0,-1
"No Result Yet in Pennsylvania House Race, but Democrat Declares Victory",The New York Times,2018,3,14,3,0,0,0,1
Trump Finds Unlikely Culprit in School Shootings: Obama Discipline Policies,The New York Times,2018,3,14,3,0,0,0,-1
"In California, Trump Attacks Jerry Brown and ‘Sanctuary Policies’",The New York Times,2018,3,14,3,0,0,0,-1
Trump’s Killing of Chip Deal Pushes Protectionism as It Invokes Security,The New York Times,2018,3,14,3,0,0,0,1
"Trade Wars Can Be a Game of Chicken. Sometimes, Literally.",The New York Times,2018,3,14,3,0,0,0,-1
Reese Witherspoon and Nicole Kidman Benefit From the Streaming Wars,The New York Times,2018,3,14,3,0,0,0,0
Google’s Security Sweep for Apps,The New York Times,2018,3,14,3,0,0,0,0
"Even With Takeover Bid Blocked, Qualcomm ‘Is in a Tight Spot’",The New York Times,2018,3,14,3,0,0,0,0
Madison Square Garden Has Used Face-Scanning Technology on Customers,The New York Times,2018,3,14,3,0,0,0,1
The Nun in Loyola-Chicago’s Huddle Has a Few Things to Say,The New York Times,2018,3,14,3,0,0,0,1
Ice Cube Fires Big3 League’s Commissioner Amid Scandal,The New York Times,2018,3,14,3,0,0,0,-1
"Damien Hirst’s Post-Venice, Post-Truth World",The New York Times,2018,3,14,3,0,0,0,1
Three Views of the Crisis in Women’s Health,The New York Times,2018,3,14,3,0,0,0,1
"With James Levine Fired, Should We Rethink Maestro Worship?",The New York Times,2018,3,14,3,0,0,0,-1
"After Fatal Helicopter Crash, ‘Urgent’ Focus on Use of Harnesses",The New York Times,2018,3,14,3,0,0,0,1
Murphy’s First Budget Is Focused on Progressive Policies and New Taxes,The New York Times,2018,3,14,3,0,0,0,1
"M.T.A. Violated Law Omitting Elevators in Station Upgrade, Prosecutors Say",The New York Times,2018,3,14,3,0,0,0,-1
"Sala Kirschner, 94, Whose Trove of Letters Told of the Holocaust, Dies",The New York Times,2018,3,14,3,0,0,0,-1
"Ken Dodd, Veteran British Comedian, Is Dead at 90",The New York Times,2018,3,14,3,0,0,0,-1
"Oskar Gröning, the ‘Bookkeeper of Auschwitz,’ Is Dead at 96",The New York Times,2018,3,14,3,0,0,0,-1
Trump May Make America Miss Rex Tillerson,The New York Times,2018,3,14,3,0,0,0,-1
Having a Torturer Lead the C.I.A.,The New York Times,2018,3,14,3,0,0,0,-1
"Dear National Rifle Association: We Won’t Let You Win. From, Teenagers.",The New York Times,2018,3,14,3,0,0,0,-1
Where Does Mike Pompeo Stand on the Issues? Too Close to Trump,The New York Times,2018,3,14,3,0,0,0,-1
Turning Back the Clock on Protecting Alaska’s Wild Lands,The New York Times,2018,3,14,3,0,0,0,-1
F.B.I. Raids Office of Trump’s Longtime Lawyer Michael Cohen; Trump Calls It ‘Disgraceful’,The New York Times,2018,4,10,4,0,0,0,-1
"Mueller Investigating Ukrainian’s $150,000 Payment for a Trump Appearance",The New York Times,2018,4,10,4,0,0,0,-1
"After Chemical Weapons Attack in Syria, Trump Weighs Retaliation",The New York Times,2018,4,10,4,0,0,0,-1
"Year of the Woman? In Arizona, It’s Women, Plural, and It’s Both Parties",The New York Times,2018,4,10,4,0,0,0,1
Does Facebook Know You Better Than You Do?,The New York Times,2018,4,10,4,0,0,0,-1
Trump Calls Syrian Chemical Attack ‘Atrocious’,The New York Times,2018,4,10,4,0,0,0,-1
Israel Suspected of Striking Syrian Air Base,The New York Times,2018,4,10,4,0,0,0,-1
Iran-Israel Conflict Escalates in Shadow of Syrian Civil War,The New York Times,2018,4,10,4,0,0,0,-1
Pope Francis Puts Caring for Migrants and Opposing Abortion on Equal Footing,The New York Times,2018,4,10,4,0,0,0,1
"As President, ‘Lula’ of Brazil Opened the Prison. Now He’s an Inmate.",The New York Times,2018,4,10,4,0,0,0,1
Federal Budget Deficit Projected to Soar to Over $1 Trillion in 2020,The New York Times,2018,4,10,4,0,0,0,-1
Bill Cosby Paid His Sex Assault Accuser $3.38 Million in Settlement,The New York Times,2018,4,10,4,0,0,0,-1
Rick Scott Senate Run Returns Florida to Battleground,The New York Times,2018,4,10,4,0,0,0,1
Trump Denounces F.B.I. Raid on His Lawyer’s Office as ‘Attack on Our Country’,The New York Times,2018,4,10,4,0,0,0,-1
"To Bannon, Tariffs on China Will Be Ultimate Test of Trump’s Beliefs",The New York Times,2018,4,10,4,0,0,0,-1
Tammy Duckworth Becomes First U.S. Senator to Give Birth While in Office,The New York Times,2018,4,10,4,0,0,0,0
The Big Question for Markets: Is There a Kudlow or Powell ‘Put’?,The New York Times,2018,4,10,4,0,0,0,-1
Mark Zuckerberg Meets With Top Lawmakers Before Hearings,The New York Times,2018,4,10,4,0,0,0,1
What Mark Zuckerberg Will Be Grilled On at the Congressional Hearings,The New York Times,2018,4,10,4,0,0,0,1
"Failed by Facebook, We’ll Return to the Scene of the Crime. We Always Do.",The New York Times,2018,4,10,4,0,0,0,-1
Zuckerberg Was Called Out Over Myanmar Violence. Here’s His Apology.,The New York Times,2018,4,10,4,0,0,0,-1
"Uber to Buy Jump, Maker of Electric Bicycles, After Bike-Sharing Test",The New York Times,2018,4,10,4,0,0,0,-1
The Jamaican Who Isn’t Sure He Wants to Play for Jamaica,The New York Times,2018,4,10,4,0,0,0,0
Mystery Consortium Is Said to Offer FIFA $25 Billion for Control of 2 Tournaments,The New York Times,2018,4,10,4,0,0,0,-1
"As Cleveland Indians Prepare to Part With Chief Wahoo, Tensions Reignite",The New York Times,2018,4,10,4,0,0,0,-1
How a Philly Cheesesteak Goes From the Grill to Carnegie Hall,The New York Times,2018,4,10,4,0,0,0,1
‘Berenice Abbott’ Captures a Large and Star-Studded Life,The New York Times,2018,4,10,4,0,0,0,1
Congestion Pricing Plan for Manhattan Ran Into Politics. Politics Won.,The New York Times,2018,4,10,4,0,0,0,-1
Embattled Housing Authority Chief in New York City Is Resigning,The New York Times,2018,4,10,4,0,0,0,-1
Trump Tower Smoke Sensors Alerted Firefighters to Deadly Blaze,The New York Times,2018,4,10,4,0,0,0,1
That Python in the Pet Store? It May Have Been Snatched From the Wild,The New York Times,2018,4,10,4,0,0,0,-1
Dr. King Said Segregation Harms Us All. Environmental Research Shows He Was Right.,The New York Times,2018,4,10,4,0,0,0,-1
Bananas vs. Sports Drinks? Bananas Win in Study,The New York Times,2018,4,10,4,0,0,0,1
"Eric Bristow, the First Superstar of Darts, Is Dead at 60",The New York Times,2018,4,10,4,0,0,0,-1
"Chuck McCann, Zany Comic in Early Children’s TV, Dies at 83",The New York Times,2018,4,10,4,0,0,0,-1
"In Syria, Trump Faces the Limits of Bluster",The New York Times,2018,4,10,4,0,0,0,-1
We Already Know How to Protect Ourselves From Facebook,The New York Times,2018,4,10,4,0,0,0,-1
The Failures of Anti-Trumpism,The New York Times,2018,4,10,4,0,0,0,-1
Turning Revulsion Into Votes,The New York Times,2018,4,10,4,0,0,0,-1
Eric Schneiderman Resigns as New York Attorney General Amid Assault Claims by 4 Women,The New York Times,2018,5,8,5,0,0,0,-1
"Trump Is Expected to Leave Iran Deal, Allies Say",The New York Times,2018,5,8,5,0,0,0,-1
"Gina Haspel Has the Experience to Run the C.I.A., and That May Be Her Biggest Problem",The New York Times,2018,5,8,5,0,0,0,-1
The Mother’s Day Trap,The New York Times,2018,5,8,5,0,0,0,-1
"AIDS Runs Rampant in Venezuela, Putting an Ancient Culture at Risk",The New York Times,2018,5,8,5,0,0,0,-1
Opponents of Iran Deal Hired Investigators to Dig Up Dirt on Obama Aide,The New York Times,2018,5,8,5,0,0,0,-1
"200 Years On, Chinese-Australians Are Still Proving They Belong",The New York Times,2018,5,8,5,0,0,0,1
E.P.A. Emails Show an Effort to Shield Pruitt From Public Scrutiny,The New York Times,2018,5,8,5,0,0,0,-1
"The Pleasure and Pain of Being California, the World’s 5th-Largest Economy",The New York Times,2018,5,8,5,0,0,0,1
Trump Administration Threatens Jail and Separating Children From Parents for Those Who Illegally Cross Southwest Border,The New York Times,2018,5,8,5,0,0,0,-1
Trump Weighs In on West Virginia Senate Race in Sign of Republican Anxiety,The New York Times,2018,5,8,5,0,0,0,-1
"Melania Trump Rolls Out ‘Be Best,’ a Children’s Agenda With a Focus on Social Media",The New York Times,2018,5,8,5,0,0,0,-1
Air France Dispute Threatens to Escalate Macron’s Battle With Labor,The New York Times,2018,5,8,5,0,0,0,-1
U.S. Oil Prices Hit $70 a Barrel for First Time Since ’14,The New York Times,2018,5,8,5,0,0,0,-1
"Elon Musk Wants to Fill Warren Buffett’s ‘Moat’ With Candy, but It Still Holds Water",The New York Times,2018,5,8,5,0,0,0,-1
Bitcoin Sees Wall Street Warm to Trading Virtual Currency,The New York Times,2018,5,8,5,0,0,0,1
"After Fatal Uber Crash, a Self-Driving Start-Up Moves Forward",The New York Times,2018,5,8,5,0,0,0,1
Microsoft Tries a New Role: Moral Leader,The New York Times,2018,5,8,5,0,0,0,-1
He Was Convicted of Molesting a 6-Year Old. Should He Have a Future in Baseball?,The New York Times,2018,5,8,5,0,0,0,-1
"To Dominate in New Orleans and Beyond, the Warriors Head to the Hamptons",The New York Times,2018,5,8,5,0,0,0,1
Yankees Are Beating Everyone but Still Looking Up at the Red Sox,The New York Times,2018,5,8,5,0,0,0,1
"I Went Naked to a Museum, and It Was … Revealing",The New York Times,2018,5,8,5,0,0,0,1
"Valee, Kanye West’s New Signee, Is a Rapper Who Just Might Build You a Koi Pond",The New York Times,2018,5,8,5,0,0,0,1
"On the Mattress for ‘Sleep,’ an 8-Hour Lullaby",The New York Times,2018,5,8,5,0,0,0,-1
How Can the M.T.A. Rescue the Subway When It Struggles to Deliver Basics?,The New York Times,2018,5,8,5,0,0,0,-1
Nixon Pushes Cuomo to Debate: ‘What’s It Going to Be Andrew?’,The New York Times,2018,5,8,5,0,0,0,1
Ships Unearthed in Virginia Offer Glimpse of Colonial Era,The New York Times,2018,5,8,5,0,0,0,1
States Turn to an Unproven Method of Execution: Nitrogen Gas,The New York Times,2018,5,8,5,0,0,0,-1
Women With Breast Cancer Delay Care When Faced With High Deductibles,The New York Times,2018,5,8,5,0,0,0,-1
"Edwin G. Burrows, Historian and Co-Author of ‘Gotham,’ Dies at 74",The New York Times,2018,5,8,5,0,0,0,-1
"Pierre Rissient, 81, Behind-the-Scenes Force of Cinema, Dies",The New York Times,2018,5,8,5,0,0,0,0
What Will New York Do About Its Uber Problem?,The New York Times,2018,5,8,5,0,0,0,-1
Why Did a Creepy Israeli Intel Firm Spy on Obama Alums?,The New York Times,2018,5,8,5,0,0,0,-1
Gnawing Away at Health Care,The New York Times,2018,5,8,5,0,0,0,-1
"The Man Who Changed the World, Twice",The New York Times,2018,5,8,5,0,0,0,1
"Trump to Invite Putin to Washington, Blindsiding His Intelligence Chief",The New York Times,2018,7,20,6,0,0,0,-1
Law That Saved the Bald Eagle Could Be Vastly Reworked,The New York Times,2018,7,20,6,0,0,0,-1
Israeli Law Declares the Country the ‘Nation-State of the Jewish People’,The New York Times,2018,7,20,6,0,0,0,1
The Districts Are Mostly White. The Candidates Are Not.,The New York Times,2018,7,20,6,0,0,0,-1
Trump Is Being Manipulated by Putin. What Should We Do?,The New York Times,2018,7,20,6,0,0,0,-1
Watch Dan Coats Find Out Trump Invited Putin to the White House,The New York Times,2018,7,20,6,0,0,0,0
Trump’s Mixed Messages on Russian Meddling,The New York Times,2018,7,20,6,0,0,0,-1
American Accused of Being ISIS Fighter in Syria Faces Prosecution in U.S.,The New York Times,2018,7,20,6,0,0,0,-1
"Erdogan, Flush With Victory, Seizes New Powers in Turkey",The New York Times,2018,7,20,6,0,0,0,1
Climate Change Is Killing the Cedars of Lebanon,The New York Times,2018,7,20,6,0,0,0,-1
Tariffs Imperil a Hometown Business in South Carolina: BMW,The New York Times,2018,7,20,6,0,0,0,1
You’ve Heard of Berkeley. Is Merced the Future of the University of California?,The New York Times,2018,7,20,6,0,0,0,1
"17 Dead After Duck Boat Capsizes Near Branson, Missouri",The New York Times,2018,7,20,6,0,0,0,-1
Trump Takes a Rare Presidential Swipe at the Fed,The New York Times,2018,7,20,6,0,0,0,-1
Trump Tries a Familiar Tactic: Providing a New Story Line,The New York Times,2018,7,20,6,0,0,0,-1
Republicans Block Anti-Putin Resolutions Before Senate Approves One Rebuke,The New York Times,2018,7,20,6,0,0,0,-1
How E.U. Is Getting Ready for Chaos in a Worst-Case Brexit,The New York Times,2018,7,20,6,0,0,0,-1
"On Trump’s Car Tariffs, Companies Are United in Dissent",The New York Times,2018,7,20,6,0,0,0,0
How 2 Media Moguls’ Once-Warm Friendship Turned Frigid,The New York Times,2018,7,20,6,0,0,0,-1
What Stays on Facebook and What Goes? The Social Network Cannot Answer,The New York Times,2018,7,20,6,0,0,0,-1
Trump Tried to Protect Qualcomm. Now His Trade War May Be Hurting It.,The New York Times,2018,7,20,6,0,0,0,-1
U.S.-Funded Broadcaster Directed Ads to Americans,The New York Times,2018,7,20,6,0,0,0,-1
British Open: A Relaxed Kevin Kisner Putts His Way to an Early Lead,The New York Times,2018,7,20,6,0,0,0,1
"Brittany Lincicome Shoots a 78 in a PGA Tour Event, but Finds a Bright Side",The New York Times,2018,7,20,6,0,0,0,1
"Carnoustie’s 18th Hole Is Ready to Make, or Break, Another Legacy",The New York Times,2018,7,20,6,0,0,0,1
"Thrills, Tears and the Real Gone Girls of Cinema",The New York Times,2018,7,20,6,0,0,0,1
Review: Taming ‘The Taming of the Shrew’ Under a Tent,The New York Times,2018,7,20,6,0,0,0,-1
The Cement Mixer as Muse,The New York Times,2018,7,20,6,0,0,0,1
Review: ‘Mamma Mia! Here We Go Again’ Takes a Detour and Loses Its Kick,The New York Times,2018,7,20,6,0,0,0,-1
Review: ‘Blindspotting’ Walks a Tense Line in a Gentrifying Oakland,The New York Times,2018,7,20,6,0,0,0,1
"Review: In ‘The Third Murder,’ Guilty as Charged Isn’t the Whole Story",The New York Times,2018,7,20,6,0,0,0,-1
